文本内容,识别结果,风险原因
2800,通过,NA
2801,拒绝,政治:政治;政治:政治;政治:政治;中国特色:政治;社会主义:政治;社会主义:政治;政治:政治;政治:政治;政治:政治;政治:政治;政治:政治;政治:政治;中国梦:政治
2802,通过,NA
2803,通过,NA
2804,通过,NA
2805,拒绝,政府:政治
2806,通过,NA
2807,通过,NA
2808,拒绝,性:色情
2809,通过,NA
2810,拒绝,中华人民共和国:政治;中华人民共和国:政治;中华人民共和国:政治;中华人民共和国:政治
2811,通过,NA
2812,拒绝,中共:政治
2813,通过,NA
2814,拒绝,政治:政治
2815,拒绝,秦刚:政治
2816,拒绝,达赖:政治
2817,拒绝,政治:政治;动乱:政治;政治:政治;政治家:政治
2818,通过,NA
2819,通过,NA
2820,拒绝,李安:不良价值观
2821,拒绝,李安:不良价值观
2822,拒绝,中国政府:政治
2823,拒绝,政治家:政治;政治家:政治;马的:谩骂;独立运动:政治
2824,拒绝,政治:政治;官场腐败:政治
2825,拒绝,政治体制:政治;腐败:政治
2826,拒绝,政府:政治
2827,通过,NA
2828,拒绝,公安部:政治
2829,通过,NA
2830,拒绝,政治:政治
2831,拒绝,政府:政治;政府:政治;当地政府:政治;政府:政治
2832,拒绝,政治:政治;腐败:政治;贪污:政治;政治家:政治;反腐:政治;鸦片:暴恐违禁;政治家:政治;贪污腐败:政治;政治:政治;反腐:政治;腐败:政治;反腐:政治
2833,通过,NA
2834,通过,NA
2835,通过,NA
2836,拒绝,公安分局:政治;公安分局:政治;公安分局:政治;法院:政治;中出:色情;杀人:暴恐违禁
2837,通过,NA
2838,拒绝,政治家:政治
2839,通过,NA
2840,拒绝,台湾|中国:政治;十八届:政治
2841,拒绝,政治:政治
2842,通过,NA
2843,通过,NA
2844,拒绝,中国特色:政治;社会主义:政治;政治:政治
2845,通过,NA
2846,拒绝,暴力行为:政治;社会舆论:政治;暴力行为:政治;暴力行为:政治;暴力行为:政治
2847,拒绝,暴力行为:政治;社会舆论:政治;暴力行为:政治;暴力行为:政治;暴力行为:政治
2848,拒绝,政治:政治
2849,通过,NA
2850,通过,NA
2851,拒绝,中国共产党:政治;20大:政治;20大:政治;中国共产党:政治;20大:政治;20大:政治;中国共产党:政治;20大:政治;中国共产党:政治;20大:政治
2852,通过,NA
2853,通过,NA
2854,拒绝,性:色情
2855,通过,NA
2856,拒绝,孙中山:政治;孙中山:政治;政府:政治;孙中山:政治;政府:政治
2857,拒绝,性:色情
2858,拒绝,政治:政治
2859,通过,NA
2860,拒绝,警察:暴恐违禁;警察:暴恐违禁;警察:暴恐违禁;警察:暴恐违禁;政治:政治;公安:政治
2861,通过,NA
2862,通过,NA
2863,拒绝,政府:政治
2864,通过,NA
2865,拒绝,政府:政治
2866,拒绝,政府:政治;习近:政治
2867,通过,NA
2868,拒绝,新华社:政治;政府:政治
2869,拒绝,维权:政治;社会舆论:政治;维权行动:政治;新华社:政治;中出:色情;论公:政治
2870,拒绝,共产党:政治;社会主义:政治;共产主义:政治;人权:政治;政治:政治;法论:政治;政治:政治
2871,通过,NA
2872,拒绝,ccp:政治;ccp:政治
2873,拒绝,性:色情;静坐:政治
2874,拒绝,政治家:政治
2875,拒绝,中华人民共和国:政治
2876,通过,NA
2877,拒绝,交警:暴恐违禁;交警:暴恐违禁
2878,拒绝,政府:政治
2879,拒绝,政治家:政治;政治家:政治;政治家:政治;政治家:政治;政治家:政治
2880,拒绝,习近平:政治;总书记:政治
2881,通过,NA
2882,通过,NA
2883,拒绝,习近平:政治;总书记:政治;中央政治局:政治;习近平:政治;总书记:政治;中国特色:政治;社会主义:政治;中国特色:政治;社会主义:政治;政治:政治;政治:政治;形式主义:政治;习近平:政治;总书记:政治;共产党员:政治;党员素质:政治
2884,拒绝,政治:政治;政治:政治;政治:政治;政治:政治
2885,拒绝,海关总署:政治;中华人民共和国:政治
2886,拒绝,教育部:政治;教育部:政治;性具:色情
2887,拒绝,中华人民共和国:政治;中华人民共和国:政治
2888,拒绝,社会主义:政治;含着:色情
2889,通过,NA
2890,通过,NA
2891,通过,NA
2892,拒绝,舆论:政治
2893,通过,NA
2894,拒绝,台湾|中国:政治
2895,通过,NA
2896,通过,NA
2897,拒绝,香港政府:政治;香港|独立:政治
2898,拒绝,政治家:政治;政治:政治;政治家:政治;穆罕默德:政治;伊斯兰教:政治
2899,拒绝,重大事件:政治;政治:政治;示威:政治;镇压:政治;重大事件:政治;政治:政治
2900,拒绝,当地政府:政治;派出所:政治
2901,拒绝,政治家:政治;政治家:政治;政治家:政治;政治家:政治;政治家:政治
2902,通过,NA
2903,通过,NA
2904,通过,NA
2905,拒绝,领导人:政治
2906,拒绝,温家宝:政治
2907,通过,NA
2908,通过,NA
2909,拒绝,人民政府:政治;人民政府:政治
2910,拒绝,政治:政治;政治:政治
2911,拒绝,性:色情;政府:政治
2912,通过,NA
2913,通过,NA
2914,通过,NA
2915,拒绝,法院:政治
2916,通过,NA
2917,通过,NA
2918,通过,NA
2919,拒绝,中华人民共和国:政治
2920,拒绝,政治:政治
2921,拒绝,统战:政治
2922,拒绝,统战:政治;民族问题:政治;政治:政治
2923,拒绝,总理:政治
2924,拒绝,邓小平:政治
2925,拒绝,习近平:政治
2926,拒绝,政治:政治
2927,拒绝,政治家:政治;政府:政治;政治:政治;政治:政治
2928,拒绝,政府:政治;政府:政治;政府:政治;政府:政治
2929,拒绝,民主革命家:政治;政治家:政治
2930,通过,NA
2931,通过,NA
2932,拒绝,法院:政治;法院:政治
2933,通过,NA
2934,拒绝,中华人民共和国:政治;中华人民共和国:政治;最高人民法院:政治
2935,拒绝,政府:政治
2936,拒绝,政府:政治
2937,拒绝,性学:色情
2938,通过,NA
2939,拒绝,当地政府:政治;中华人民共和国:政治;中华人民共和国:政治
2940,拒绝,党员干部:政治;党员干部:政治;政治:政治;反腐:政治;反腐:政治;反腐:政治;高干:政治;反腐:政治;反腐:政治
2941,拒绝,最高人民法院:政治
2942,通过,NA
2943,通过,NA
2944,通过,NA
2945,拒绝,政治家:政治;独立运动:政治
2946,拒绝,维权:政治;维权:政治
2947,拒绝,政治:政治
2948,通过,NA
2949,通过,NA
2950,拒绝,社会主义:政治;中国特色:政治;社会主义:政治
2951,拒绝,性:色情;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治
2952,拒绝,政府:政治;香港政府:政治;政府:政治;政府:政治
2953,拒绝,流亡:政治;纳粹:政治;流亡:政治;流亡:政治;法论:政治
2954,拒绝,领导干部:政治
2955,通过,NA
2956,拒绝,中华人民共和国:政治;公安机关:政治;交警:暴恐违禁
2957,拒绝,政府:政治
2958,拒绝,维权:政治;维权:政治
2959,通过,NA
2960,拒绝,政府:政治
2961,拒绝,性行为:色情;裸露:色情;法院:政治;法院:政治
2962,通过,NA
2963,拒绝,法院:政治
2964,通过,NA
2965,通过,NA
2966,拒绝,政治:政治;政治:政治;政治:政治;中国特色:政治;社会主义:政治;民主:政治
2967,拒绝,中国共产党:政治;政府:政治
2968,通过,NA
2969,通过,NA
2970,拒绝,国家文物局:政治;人民政府:政治;国家文物局:政治
2971,拒绝,政府:政治
2972,拒绝,腐败:政治;反腐:政治;腐败:政治;腐败:政治;腐败:政治;反腐:政治;反腐:政治
2973,拒绝,三氯甲烷:暴恐违禁
2974,通过,NA
2975,拒绝,维稳:政治
2976,通过,NA
2977,拒绝,中国共产党:政治;党员:政治;党员:政治;党员:政治;党员:政治;党员干部:政治;领导干部:政治;党员干部:政治
2978,通过,NA
2979,拒绝,推翻:政治;国民党:政治;政府:政治;民主:政治;政府:政治;推翻:政治;国民党:政治;政府:政治;民主:政治;政府:政治;共产党:政治;共产党:政治;共产主义:政治;社会主义:政治;共产主义:政治;政治:政治;共产主义:政治;社会主义:政治;共产主义:政治;社会主义:政治
2980,通过,NA
2981,拒绝,毛主席:政治;毛主席:政治
2982,通过,NA
2983,拒绝,教育部:政治
2984,拒绝,政府:政治
2985,通过,NA
2986,拒绝,领导干部:政治;政治:政治;领导干部:政治;政治:政治;政府:政治;领导干部:政治;民意:政治;民意:政治
2987,拒绝,政治:政治
2988,拒绝,维权:政治
2989,拒绝,政治:政治;政治:政治;法论:政治
2990,通过,NA
2991,拒绝,社会主义:政治;中国特色:政治;社会主义:政治
2992,拒绝,政府:政治
2993,拒绝,共产党:政治
2994,通过,NA
2995,拒绝,政府:政治
2996,拒绝,性:色情
2997,拒绝,政府:政治
2998,通过,NA
2999,拒绝,党员:政治;政府:政治;党员:政治;党员:政治
3000,拒绝,低制:政治
3001,拒绝,中华人民共和国外交部:政治
3002,拒绝,民主生活会:政治;民主生活会:政治;民主生活会:政治;中出:色情
3003,通过,NA
3004,通过,NA
3005,通过,NA
3006,通过,NA
3007,拒绝,中共:政治;色女:色情
3008,拒绝,政府:政治
3009,拒绝,黄色:色情;当地政府:政治
3010,拒绝,政府:政治
3011,拒绝,政府:政治
3012,通过,NA
3013,拒绝,维权:政治;法院:政治;维权:政治;法院:政治;法院:政治
3014,拒绝,政治:政治;政治:政治;政治:政治;反腐:政治
3015,通过,NA
3016,通过,NA
3017,拒绝,政治家:政治;民主:政治;民主:政治;政治改革:政治;腐败:政治;反腐:政治;政治:政治
3018,拒绝,纳粹:政治
3019,拒绝,二十大:政治;毛泽东:政治;中共中央:政治;二十大:政治;蒋介石:政治;民主专政:政治;政治局面:政治;在政治上:政治;民主专政:政治;中国共产党:政治;中国共产党:政治;社会主义:政治;社会主义:政治;社会主义:政治;政治:政治;社会主义:政治;社会主义:政治;反动:政治;腐败:政治
3020,拒绝,习二:政治
3021,拒绝,政府:政治;政府:政治
3022,拒绝,诺贝尔和平奖:政治;政治:政治
3023,拒绝,政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治
3024,拒绝,领导人:政治;政治:政治;政治:政治
3025,拒绝,社会主义:政治
3026,通过,NA
3027,通过,NA
3028,拒绝,党员:政治;党员队伍:政治;党员:政治;党员:政治;党员:政治;党员:政治;政治素质:政治;党员:政治;党员:政治;党员:政治;党员队伍:政治;党员大会:政治;党员:政治;党员:政治;党员干部:政治;腐败:政治;党员干部:政治;政治:政治;党员干部:政治;党员干部:政治;党员干部:政治;政治素质:政治;党员干部:政治;党员干部:政治;党员干部:政治;政治信仰:政治;党员:政治
3029,通过,NA
3030,通过,NA
3031,拒绝,政治:政治
3032,拒绝,回族:政治
3033,通过,NA
3034,拒绝,中共党员:政治;公安局:政治
3035,拒绝,共产党:政治
3036,拒绝,毛泽东:政治
3037,通过,NA
3038,通过,NA
3039,拒绝,政府:政治;政府:政治;政府:政治
3040,通过,NA
3041,拒绝,二十大:政治;解放军:政治
3042,通过,NA
3043,通过,NA
3044,拒绝,李安:不良价值观
3045,拒绝,舆论:政治;舆论:政治;政府:政治;舆论:政治
3046,通过,NA
3047,拒绝,党和政府:政治
3048,拒绝,政府:政治
3049,通过,NA
3050,通过,NA
3051,拒绝,政府:政治;政府:政治;政府:政治
3052,拒绝,公安局:政治
3053,通过,NA
3054,拒绝,党员干部:政治;中国特色:政治
3055,拒绝,政府:政治
3056,拒绝,性:色情;低制:政治;低制:政治
3057,通过,NA
3058,通过,NA
3059,通过,NA
3060,拒绝,中国特色:政治;中国特色:政治;社会主义:政治;中国特色:政治
3061,通过,NA
3062,通过,NA
3063,通过,NA
3064,拒绝,政府:政治
3065,通过,NA
3066,拒绝,党员:政治;政治:政治;中国梦:政治
3067,拒绝,地方政府:政治;政府:政治;当地政府:政治
3068,通过,NA
3069,拒绝,社会主义:政治
3070,拒绝,社会主义:政治;社会主义:政治;社会主义:政治;社会主义:政治;社会主义:政治;社会主义:政治
3071,通过,NA
3072,通过,NA
3073,通过,NA
3074,拒绝,氰化钠:暴恐违禁;氰化钾:暴恐违禁
3075,通过,NA
3076,通过,NA
3077,通过,NA
3078,通过,NA
3079,通过,NA
3080,通过,NA
3081,拒绝,地方政府:政治
3082,拒绝,国务院:政治;总理:政治;外交部长:政治
3083,拒绝,政治家:政治;政治家:政治
3084,拒绝,安全委:政治
3085,拒绝,政治:政治;政治势力:政治;尊重人权:政治
3086,拒绝,自杀:不良价值观;手枪:暴恐违禁
3087,拒绝,政府:政治
3088,拒绝,人类命运共同体:政治
3089,拒绝,政府:政治
3090,拒绝,惨案:政治;政府:政治
3091,通过,NA
3092,拒绝,一带一路:政治
3093,通过,NA
3094,通过,NA
3095,通过,NA
3096,通过,NA
3097,拒绝,政府:政治
3098,通过,NA
3099,拒绝,假币:暴恐违禁;舆论:政治;假币:暴恐违禁;假币:暴恐违禁;假币:暴恐违禁;假币:暴恐违禁;假币:暴恐违禁;假币:暴恐违禁;新华社:政治;假币:暴恐违禁;假币:暴恐违禁;假币:暴恐违禁;假币:暴恐违禁;假币:暴恐违禁;舆论:政治;舆论:政治;假币:暴恐违禁;舆论:政治;假币:暴恐违禁
3100,拒绝,二十大:政治
3101,通过,NA
3102,通过,NA
3103,通过,NA
3104,通过,NA
3105,通过,NA
3106,拒绝,高潮:色情;穆斯林:政治;政府:政治
3107,拒绝,政府:政治
3108,拒绝,政府:政治;维权:政治
3109,拒绝,塔利班:政治;诺贝尔和平奖:政治
3110,拒绝,政治家:政治;民主:政治;红十字会:政治
3111,拒绝,政治家:政治;政治:政治;伊斯兰教:政治;islam:政治;真主:政治;伊斯兰教:政治;政治:政治
3112,拒绝,政治家:政治;政治:政治
3113,通过,NA
3114,拒绝,人权:政治
3115,通过,NA
3116,拒绝,中华人民共和国:政治;海关总署:政治
3117,拒绝,统战:政治
3118,通过,NA
3119,拒绝,色情:色情
3120,通过,NA
3121,拒绝,屠杀:政治;民意:政治;政府:政治
3122,拒绝,政治家:政治;政治:政治;政治:政治;政治:政治;政治家:政治;腐败:政治;政治:政治;政治:政治;政治:政治;政治:政治;教育部:政治
3123,通过,NA
3124,拒绝,中华人民共和国:政治
3125,通过,NA
3126,拒绝,政府:政治
3127,拒绝,当地政府:政治;地方政府:政治
3128,通过,NA
3129,拒绝,政治:政治;政治:政治;政治立场:政治;政治:政治
3130,通过,NA
3131,拒绝,政府:政治;政治:政治
3132,拒绝,市政府:政治
3133,通过,NA
3134,拒绝,政府:政治;政府:政治;人权:政治;政治觉悟:政治;政府:政治;政府:政治;政府:政治
3135,通过,NA
3136,通过,NA
3137,通过,NA
3138,拒绝,性行为:色情;性:色情;性欲望:色情;性欲望:色情;性:色情;性行为:色情;性:色情
3139,拒绝,政府:政治
3140,通过,NA
3141,通过,NA
3142,拒绝,党员:政治;共产党员:政治
3143,拒绝,中国人民解放军:政治
3144,拒绝,人民政府:政治;人民政府:政治;人民政府:政治;政府:政治;政府:政治
3145,拒绝,共产党:政治;政治:政治;红卫兵:政治;政府:政治;社会主义:政治;政治:政治;社会主义:政治;政府:政治
3146,通过,NA
3147,通过,NA
3148,拒绝,一带一路:政治;一带一路:政治;一带一路:政治;一带一路:政治;一带一路:政治
3149,拒绝,政治家:政治;中央政府:政治;政治:政治
3150,拒绝,政治:政治;政治:政治;政治信仰:政治;政治立场:政治;政治信仰:政治;政治:政治;政治:政治
3151,拒绝,领导人:政治
3152,通过,NA
3153,拒绝,鸦片:暴恐违禁;政治:政治;镇压:政治;鸦片:暴恐违禁;鸦片:暴恐违禁;鸦片:暴恐违禁;鸦片:暴恐违禁;鸦片:暴恐违禁;抗议:政治;鸦片:暴恐违禁;政府:政治
3154,拒绝,舆论:政治;新华社:政治
3155,拒绝,法院:政治
3156,拒绝,法院:政治
3157,通过,NA
3158,拒绝,法院:政治;中华人民共和国:政治;性:色情
3159,拒绝,三个代表:政治;性:色情
3160,拒绝,政治:政治;民主:政治
3161,拒绝,维权:政治
3162,通过,NA
3163,拒绝,电子警察:政治
3164,通过,NA
3165,通过,NA
3166,拒绝,外交部:政治;秦刚:政治;外交部:政治
3167,拒绝,总理:政治;财政部长:政治
3168,拒绝,人权法:政治;政府:政治;性学:色情
3169,拒绝,废物:谩骂
3170,通过,NA
3171,拒绝,政府:政治
3172,拒绝,政府:政治;政府:政治;政府:政治
3173,拒绝,政府:政治
3174,通过,NA
3175,通过,NA
3176,通过,NA
3177,通过,NA
3178,拒绝,性骚扰:色情;中华人民共和国:政治;性骚扰:色情;性骚扰:色情;性骚扰:色情;中华人民共和国:政治
3179,拒绝,性病:色情
3180,拒绝,民航局:政治
3181,拒绝,一带一路:政治;一带一路:政治;一带一路:政治;一带一路:政治;一带一路:政治
3182,拒绝,市政府:政治;政府:政治
3183,通过,NA
3184,拒绝,文化大革命:政治;学潮:政治
3185,拒绝,政府:政治
3186,拒绝,政治:政治;政治:政治;中国特色:政治;社会主义:政治;中国梦:政治;中国特色:政治;社会主义:政治;中国共产党:政治;中国共产党:政治;中华人民共和国:政治;政治:政治;时事政治:政治
3187,拒绝,党员:政治;党员:政治
3188,通过,NA
3189,拒绝,政府:政治
3190,拒绝,人民法院:政治;下体:色情
3191,拒绝,中国政府:政治;政府:政治
3192,拒绝,政府:政治
3193,拒绝,政府:政治
3194,拒绝,习近平:政治
3195,拒绝,公务员:政治
3196,拒绝,社会主义:政治
3197,拒绝,社会主义:政治;社会主义:政治;社会主义:政治;社会主义:政治;社会主义:政治;社会主义:政治
3198,通过,NA
3199,通过,NA
3200,拒绝,维权:政治;维权:政治;维权:政治;大法:政治
3201,拒绝,政府:政治
3202,拒绝,政府:政治
3203,拒绝,党员:政治;共产党:政治;优秀党员:政治;党员:政治
3204,拒绝,社会主义:政治
3205,通过,NA
3206,通过,NA
3207,拒绝,反腐:政治;腐败:政治
3208,拒绝,暴动:政治;马的:谩骂
3209,拒绝,政府:政治;性:色情;政府:政治
3210,拒绝,言论自由:政治;言论自由:政治;言论自由:政治;人权:政治;言论自由:政治;言论自由:政治;言论自由:政治;言论自由:政治;言论自由:政治;言论自由:政治;言论自由:政治
3211,通过,NA
3212,拒绝,人权:政治;人权:政治
3213,通过,NA
3214,拒绝,政府:政治
3215,拒绝,法院:政治
3216,通过,NA
3217,通过,NA
3218,拒绝,中国共产党:政治;党员干部:政治;政治:政治;政治:政治;腐败:政治
3219,拒绝,政治素质:政治
3220,拒绝,政治:政治;含着:色情
3221,拒绝,法伦:政治
3222,拒绝,中华人民共和国:政治;国家统计局:政治
3223,通过,NA
3224,通过,NA
3225,拒绝,地雷:暴恐违禁;地雷:暴恐违禁;地雷:暴恐违禁;地雷:暴恐违禁
3226,通过,NA
3227,拒绝,政府:政治;政府:政治
3228,拒绝,政治:政治;色情:色情
3229,拒绝,政府:政治
3230,通过,NA
3231,通过,NA
3232,拒绝,枪支:暴恐违禁;弹药:暴恐违禁;枪支:暴恐违禁;弹药:暴恐违禁;枪支:暴恐违禁;弹药:暴恐违禁;走私:暴恐违禁;枪支:暴恐违禁;枪支:暴恐违禁;枪支:暴恐违禁;枪支:暴恐违禁;枪支:暴恐违禁;枪支:暴恐违禁;弹药:暴恐违禁;枪支:暴恐违禁;弹药:暴恐违禁;抢劫:暴恐违禁;恐怖主义:政治;枪支:暴恐违禁;枪支:暴恐违禁;枪支:暴恐违禁;枪支:暴恐违禁;枪支:暴恐违禁;弹药:暴恐违禁;枪支:暴恐违禁;枪支:暴恐违禁;走私:暴恐违禁;性事:色情
3233,通过,NA
3234,拒绝,中华人民共和国:政治;中华人民共和国:政治
3235,拒绝,党员:政治
3236,拒绝,党员:政治;党员:政治;党员:政治;中国特色:政治;社会主义:政治;中国共产党:政治
3237,拒绝,中华人民共和国:政治;中华人民共和国:政治
3238,通过,NA
3239,通过,NA
3240,通过,NA
3241,拒绝,政府:政治
3242,拒绝,当地政府:政治
3243,拒绝,政治:政治
3244,通过,NA
3245,通过,NA
3246,拒绝,政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治
3247,通过,NA
3248,通过,NA
3249,拒绝,中国共产党:政治;中国共产党:政治;形式主义:政治
3250,拒绝,政府:政治
3251,拒绝,人民解放军:政治;解放军:政治;解放军:政治
3252,通过,NA
3253,通过,NA
3254,拒绝,政府:政治
3255,拒绝,政府:政治
3256,拒绝,政府:政治
3257,通过,NA
3258,拒绝,政府:政治
3259,通过,NA
3260,通过,NA
3261,拒绝,公安局:政治
3262,拒绝,政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治;政府:政治
3263,通过,NA
3264,拒绝,法院:政治
3265,拒绝,法院:政治
3266,通过,NA
3267,通过,NA
3268,拒绝,公安分局:政治;公安分局:政治;公安分局:政治;公安分局:政治;公安分局:政治;法院:政治;公安分局:政治;公安分局:政治;公安分局:政治;法院:政治;公安分局:政治;公安分局:政治
3269,拒绝,政府:政治;政府:政治
3270,拒绝,地方政府:政治;政府:政治
3271,通过,NA
3272,通过,NA
3273,拒绝,政府:政治
3274,通过,NA
3275,通过,NA
3276,拒绝,中华人民共和国:政治;法院:政治;小3:色情
3277,拒绝,中国政府:政治
3278,通过,NA
3279,拒绝,政府:政治
3280,通过,NA
3281,拒绝,信访:政治
3282,拒绝,中国梦:政治
3283,通过,NA
3284,拒绝,政治立场:政治
3285,拒绝,中国共产党:政治;中国共产党:政治
3286,拒绝,18届:政治;性运动:色情
3287,拒绝,政府:政治;反腐:政治;反腐:政治;反腐:政治;腐败:政治;论公:政治
3288,拒绝,政府:政治
3289,通过,NA
3290,通过,NA
3291,拒绝,中国共产党:政治;共产主义:政治;中国特色:政治;社会主义:政治;中国共产党:政治;政治:政治;习近平:政治;总书记:政治;中国特色:政治;社会主义:政治;中国共产党:政治;入党申请书:政治;中国共产党:政治;中国共产党:政治;民主:政治;政治:政治;民意:政治;中国共产党:政治;中国特色:政治;社会主义:政治;写真:色情
3292,通过,NA
3293,拒绝,人权:政治
3294,拒绝,预备党员:政治;中国共产党:政治;新党员:政治;政治觉悟:政治;预备党员:政治;党员:政治;政治觉悟:政治;中国共产党:政治;预备党员:政治;党员:政治;预备党员:政治;党员:政治;党员:政治;党员:政治;预备党员:政治;中国共产党:政治;党员:政治;党员:政治;预备党员:政治;预备党员:政治;预备党员:政治;新党员:政治;预备党员:政治;政治觉悟:政治
3295,拒绝,中华人民共和国:政治;中华人民共和国:政治
3296,拒绝,政治家:政治;中央集权:政治;政治家:政治;中央集权:政治;文化大革命:政治
3297,通过,NA
3298,通过,NA
3299,拒绝,宪章:政治;人权:政治;人权:政治;民主:政治;人权:政治;人权:政治;政治:政治;被干:色情
3300,拒绝,共产党员:政治
3301,通过,NA
3302,通过,NA
3303,通过,NA
3304,通过,NA
3305,拒绝,政府:政治
3306,通过,NA
3307,通过,NA
3308,拒绝,维权:政治
3309,通过,NA
3310,拒绝,性:色情
3311,通过,NA
3312,拒绝,中国共产党:政治;社会主义:政治;中国共产党:政治;中国共产党:政治;中国共产党:政治;党员:政治;中国共产党:政治;中国共产党:政治;中国共产党:政治;党员:政治;党员:政治;中国共产党:政治;优秀党员:政治;中国特色:政治;社会主义:政治
3313,通过,NA
3314,通过,NA
3315,拒绝,民主:政治
3316,通过,NA
3317,拒绝,89年:政治
3318,拒绝,习近平:政治;中国共产党中央委员会:政治;主席:政治;习近平:政治;党委书记:政治
3319,拒绝,自杀:不良价值观
3320,拒绝,民主生活会:政治;民主生活会:政治
3321,拒绝,政治责任:政治
3322,拒绝,政治:政治;政治信仰:政治;中国特色:政治;社会主义:政治;中国特色:政治;社会主义:政治;共产党:政治;政治:政治;习近平:政治;中国特色:政治;社会主义:政治;政治:政治;政治:政治;政治:政治;政治:政治;政治:政治;政治:政治;政治:政治;中国梦:政治
3323,通过,NA
3324,通过,NA
3325,拒绝,政治:政治;性学:色情
3326,拒绝,一带一路:政治;政治:政治;一带一路:政治;政府:政治
3327,拒绝,一带一路:政治;政治:政治
3328,通过,NA
3329,通过,NA
3330,通过,NA
3331,拒绝,政治:政治;政治:政治
3332,通过,NA
3333,拒绝,人民政府:政治;政府:政治;政府:政治;政府:政治;地方政府:政治;市政府:政治
3334,通过,NA
3335,拒绝,中国共产党:政治;社会主义:政治
3336,拒绝,公安:政治;公安:政治;公安:政治;公安:政治;公安:政治;公安:政治
3337,通过,NA
3338,拒绝,政府:政治
3339,拒绝,维权:政治;中华人民共和国:政治
3340,通过,NA
3341,通过,NA
3342,通过,NA
3343,拒绝,秦刚:政治
3344,通过,NA
3345,通过,NA
3346,通过,NA
3347,拒绝,法院:政治;政府:政治;政府:政治
3348,拒绝,国家发展和改革委员会:政治;国家发展和改革委员会:政治;国务院办公厅:政治;国办发:政治;互联网信息办公室:政治;建设部:政治;建设部:政治
3349,拒绝,政府:政治;政府:政治
3350,拒绝,民主生活会:政治;中国共产党:政治;政治:政治;民主:政治;党员:政治;民主生活会:政治;党员:政治;政治:政治;民主生活会:政治;党员:政治;党员:政治;党员:政治;民主生活会:政治
3351,拒绝,政府:政治
3352,拒绝,希望之声:政治
3353,通过,NA
3354,拒绝,维权:政治;真相:政治;维权:政治;舆论:政治
3355,通过,NA
3356,通过,NA
3357,拒绝,当地政府:政治;派出所:政治;警察:暴恐违禁
3358,通过,NA
3359,拒绝,党员:政治
3360,拒绝,政府:政治
3361,通过,NA
3362,通过,NA
3363,拒绝,政府:政治;政府:政治;政府:政治
3364,拒绝,政府:政治
3365,拒绝,人权:政治
3366,拒绝,邓小平:政治;中国共产党:政治;国家主席:政治;军委主席:政治;总理:政治;政治:政治
3367,拒绝,政府:政治
3368,拒绝,共产党员:政治
3369,拒绝,中国共产党:政治;毛泽东:政治;毛泽东:政治;朱德:政治;周恩来:政治;毛泽东:政治;毛泽东:政治;中国共产党:政治
3370,拒绝,政府:政治
3371,通过,NA
3372,通过,NA
3373,通过,NA
3374,拒绝,性具:色情
3375,拒绝,政府:政治
3376,拒绝,政治:政治;政治:政治
3377,通过,NA
3378,拒绝,政治:政治
3379,拒绝,两会:政治
3380,拒绝,两会:政治
3381,拒绝,政治阴谋:政治;政治:政治
3382,拒绝,地方政府:政治;政府:政治
3383,通过,NA
3384,通过,NA
3385,通过,NA
3386,拒绝,性:色情
3387,拒绝,成都市政府:政治
3388,通过,NA
3389,通过,NA
3390,拒绝,政府:政治
3391,拒绝,政府:政治;政府:政治
3392,通过,NA
3393,拒绝,政府:政治
3394,拒绝,法院:政治
3395,拒绝,约跑:色情
3396,拒绝,政治:政治;政治:政治;政治:政治;政治腐败:政治;政治:政治;政府:政治;政府:政治;政治:政治
3397,通过,NA
3398,拒绝,手铐:暴恐违禁;警察:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁;手铐:暴恐违禁
3399,拒绝,政治:政治;政治:政治;政治势力:政治;尊重人权:政治
3400,拒绝,腐败:政治;贪污:政治;贪污:政治;反腐:政治;反腐:政治;反腐:政治;反腐:政治;反腐:政治
3401,通过,NA
3402,拒绝,政治:政治;反腐:政治;反腐:政治;反腐:政治
3403,拒绝,中国政府:政治
3404,通过,NA
3405,通过,NA
3406,拒绝,当地政府:政治
3407,拒绝,性:色情
3408,通过,NA
3409,通过,NA
3410,拒绝,印尼华人:政治;印尼华人:政治;民联:政治
3411,通过,NA
3412,拒绝,消防队员:政治;消防队:政治
3413,拒绝,党员:政治;共产党员:政治
3414,拒绝,畜生:谩骂
3415,拒绝,区政府:政治
3416,拒绝,中国政府:政治
