文本内容,识别结果,风险原因
1317,拒绝,存在政治敏感不合规
1318,通过,NA
1319,拒绝,存在恶意推广不合规
1320,通过,NA
1321,拒绝,存在政治敏感不合规
1322,拒绝,存在政治敏感不合规
1323,通过,NA
1324,通过,NA
1325,通过,NA
1326,拒绝,存在文本色情不合规
1327,通过,NA
1328,通过,NA
1329,通过,NA
1330,拒绝,存在政治敏感不合规
1331,通过,NA
1332,通过,NA
1333,通过,NA
1334,通过,NA
1335,通过,NA
1336,通过,NA
1337,通过,NA
1338,通过,NA
1339,通过,NA
1340,通过,NA
1341,通过,NA
1342,通过,NA
1343,通过,NA
1344,通过,NA
1345,通过,NA
1346,拒绝,存在政治敏感不合规
1347,通过,NA
1348,通过,NA
1349,通过,NA
1350,通过,NA
1351,通过,NA
1352,通过,NA
1353,通过,NA
1354,通过,NA
1355,拒绝,疑似存在政治敏感不合规
1356,通过,NA
1357,通过,NA
1358,通过,NA
1359,通过,NA
1360,通过,NA
1361,通过,NA
1362,通过,NA
1363,通过,NA
1364,通过,NA
1365,通过,NA
1366,拒绝,存在政治敏感不合规
1367,通过,NA
1368,通过,NA
1369,通过,NA
1370,拒绝,存在恶意推广不合规
1371,通过,NA
1372,通过,NA
1373,通过,NA
1374,拒绝,存在政治敏感不合规
1375,通过,NA
1376,通过,NA
1377,通过,NA
1378,通过,NA
1379,拒绝,存在政治敏感不合规
1380,通过,NA
1381,通过,NA
1382,拒绝,存在政治敏感不合规
1383,通过,NA
1384,通过,NA
1385,通过,NA
1386,通过,NA
1387,通过,NA
1388,通过,NA
1389,通过,NA
1390,通过,NA
1391,通过,NA
1392,通过,NA
1393,通过,NA
1394,拒绝,存在恶意推广不合规
1395,通过,NA
1396,通过,NA
1397,通过,NA
1398,通过,NA
1399,通过,NA
1400,通过,NA
1401,通过,NA
1402,通过,NA
1403,通过,NA
1404,通过,NA
1405,通过,NA
1406,拒绝,存在政治敏感不合规
1407,通过,NA
1408,通过,NA
1409,通过,NA
1410,通过,NA
1411,拒绝,存在政治敏感不合规
1412,通过,NA
1413,通过,NA
1414,通过,NA
1415,通过,NA
1416,通过,NA
1417,通过,NA
1418,通过,NA
1419,通过,NA
1420,通过,NA
1421,通过,NA
1422,通过,NA
1423,通过,NA
1424,通过,NA
1425,通过,NA
1426,通过,NA
1427,拒绝,存在政治敏感不合规
1428,拒绝,存在政治敏感不合规
1429,通过,NA
1430,通过,NA
1431,通过,NA
1432,通过,NA
1433,拒绝,存在政治敏感不合规
1434,拒绝,存在政治敏感不合规
1435,通过,NA
1436,通过,NA
1437,通过,NA
1438,通过,NA
1439,通过,NA
1440,拒绝,存在政治敏感不合规
1441,通过,NA
1442,通过,NA
1443,通过,NA
1444,通过,NA
1445,通过,NA
1446,拒绝,存在恶意推广不合规
1447,拒绝,存在政治敏感不合规
1448,通过,NA
1449,通过,NA
1450,通过,NA
1451,通过,NA
1452,通过,NA
1453,通过,NA
1454,通过,NA
1455,通过,NA
1456,通过,NA
1457,通过,NA
1458,拒绝,存在政治敏感不合规
1459,通过,NA
1460,通过,NA
1461,通过,NA
1462,通过,NA
1463,通过,NA
1464,通过,NA
1465,拒绝,疑似存在政治敏感不合规
1466,通过,NA
1467,通过,NA
1468,通过,NA
1469,通过,NA
1470,通过,NA
1471,通过,NA
1472,通过,NA
1473,通过,NA
1474,通过,NA
1475,通过,NA
1476,拒绝,疑似存在政治敏感不合规
1477,通过,NA
1478,通过,NA
1479,通过,NA
1480,通过,NA
1481,通过,NA
1482,通过,NA
1483,通过,NA
1484,拒绝,疑似存在政治敏感不合规
1485,通过,NA
1486,拒绝,存在政治敏感不合规
1487,通过,NA
1488,通过,NA
1489,通过,NA
1490,通过,NA
1491,通过,NA
1492,通过,NA
1493,通过,NA
1494,通过,NA
1495,拒绝,疑似存在文本色情不合规
1496,通过,NA
1497,通过,NA
1498,通过,NA
1499,通过,NA
1500,通过,NA
1501,通过,NA
1502,拒绝,存在政治敏感不合规
1503,拒绝,存在政治敏感不合规
1504,通过,NA
1505,通过,NA
1506,通过,NA
1507,拒绝,存在政治敏感不合规
1508,通过,NA
1509,通过,NA
1510,通过,NA
1511,拒绝,存在政治敏感不合规
1512,通过,NA
1513,通过,NA
1514,通过,NA
1515,通过,NA
1516,通过,NA
1517,通过,NA
1518,拒绝,疑似存在政治敏感不合规
1519,通过,NA
1520,通过,NA
1521,通过,NA
1522,通过,NA
1523,拒绝,存在政治敏感不合规
1524,通过,NA
1525,拒绝,存在政治敏感不合规
1526,通过,NA
1527,通过,NA
1528,通过,NA
1529,通过,NA
1530,拒绝,存在政治敏感不合规
1531,通过,NA
1532,通过,NA
1533,通过,NA
1534,拒绝,存在政治敏感不合规
1535,拒绝,存在政治敏感不合规
1536,通过,NA
1537,通过,NA
1538,通过,NA
1539,通过,NA
1540,通过,NA
1541,通过,NA
1542,拒绝,存在政治敏感不合规
1543,拒绝,存在恶意推广不合规
1544,拒绝,存在政治敏感不合规
1545,拒绝,疑似存在政治敏感不合规
1546,通过,NA
1547,通过,NA
1548,拒绝,存在政治敏感不合规
1549,通过,NA
1550,拒绝,存在政治敏感不合规
1551,通过,NA
1552,拒绝,存在政治敏感不合规
1553,通过,NA
1554,通过,NA
1555,拒绝,存在低俗辱骂不合规
1556,通过,NA
1557,通过,NA
1558,通过,NA
1559,通过,NA
1560,通过,NA
1561,拒绝,疑似存在政治敏感不合规
1562,通过,NA
1563,通过,NA
1564,通过,NA
1565,通过,NA
1566,拒绝,存在政治敏感不合规
1567,拒绝,疑似存在政治敏感不合规
1568,通过,NA
1569,通过,NA
1570,通过,NA
1571,通过,NA
1572,拒绝,存在政治敏感不合规
1573,拒绝,存在政治敏感不合规
1574,拒绝,存在政治敏感不合规
1575,通过,NA
1576,通过,NA
1577,通过,NA
1578,通过,NA
1579,通过,NA
1580,通过,NA
1581,通过,NA
1582,通过,NA
1583,拒绝,疑似存在政治敏感不合规
1584,拒绝,存在恶意推广不合规
1585,通过,NA
1586,拒绝,存在政治敏感不合规
1587,拒绝,存在政治敏感不合规
1588,通过,NA
1589,通过,NA
1590,通过,NA
1591,通过,NA
1592,通过,NA
1593,通过,NA
1594,通过,NA
1595,通过,NA
1596,通过,NA
1597,拒绝,存在政治敏感不合规
1598,通过,NA
1599,拒绝,存在恶意推广不合规
1600,通过,NA
1601,拒绝,存在政治敏感不合规
1602,通过,NA
1603,通过,NA
1604,通过,NA
1605,通过,NA
1606,通过,NA
1607,通过,NA
1608,通过,NA
1609,通过,NA
1610,通过,NA
1611,通过,NA
1612,通过,NA
1613,通过,NA
1614,通过,NA
1615,通过,NA
1616,通过,NA
1617,拒绝,存在政治敏感不合规
1618,通过,NA
1619,通过,NA
1620,通过,NA
1621,通过,NA
1622,通过,NA
1623,通过,NA
1624,通过,NA
1625,通过,NA
1626,通过,NA
1627,通过,NA
1628,通过,NA
1629,通过,NA
1630,拒绝,存在恶意推广不合规
1631,通过,NA
1632,通过,NA
1633,通过,NA
1634,拒绝,存在政治敏感不合规
1635,通过,NA
1636,通过,NA
1637,拒绝,存在政治敏感不合规
1638,拒绝,疑似存在政治敏感不合规
1639,通过,NA
1640,通过,NA
1641,拒绝,存在政治敏感不合规
1642,拒绝,存在政治敏感不合规
1643,通过,NA
1644,拒绝,疑似存在政治敏感不合规
1645,通过,NA
1646,通过,NA
1647,通过,NA
1648,通过,NA
1649,通过,NA
1650,通过,NA
1651,通过,NA
1652,通过,NA
1653,拒绝,存在政治敏感不合规
1654,拒绝,存在政治敏感不合规
1655,通过,NA
1656,拒绝,存在政治敏感不合规
1657,通过,NA
1658,通过,NA
1659,通过,NA
1660,通过,NA
1661,通过,NA
1662,通过,NA
1663,通过,NA
1664,通过,NA
1665,拒绝,存在恶意推广不合规
1666,拒绝,存在政治敏感不合规
1667,通过,NA
1668,通过,NA
1669,通过,NA
1670,拒绝,疑似存在政治敏感不合规
1671,通过,NA
1672,通过,NA
1673,通过,NA
1674,通过,NA
1675,通过,NA
1676,通过,NA
1677,拒绝,疑似存在政治敏感不合规
1678,通过,NA
1679,通过,NA
1680,通过,NA
1681,通过,NA
1682,通过,NA
1683,通过,NA
1684,拒绝,存在政治敏感不合规
1685,通过,NA
1686,拒绝,疑似存在政治敏感不合规
1687,通过,NA
1688,通过,NA
1689,通过,NA
1690,通过,NA
1691,通过,NA
1692,通过,NA
1693,通过,NA
1694,拒绝,存在政治敏感不合规
1695,通过,NA
1696,拒绝,存在政治敏感不合规
1697,拒绝,存在政治敏感不合规
1698,通过,NA
1699,拒绝,疑似存在政治敏感不合规
1700,通过,NA
1701,拒绝,存在恶意推广不合规
1702,通过,NA
1703,通过,NA
1704,拒绝,存在政治敏感不合规
1705,拒绝,存在政治敏感不合规
1706,通过,NA
1707,通过,NA
1708,拒绝,存在政治敏感不合规
1709,通过,NA
1710,通过,NA
1711,通过,NA
1712,通过,NA
1713,通过,NA
1714,通过,NA
1715,拒绝,存在政治敏感不合规
1716,通过,NA
1717,通过,NA
1718,通过,NA
1719,拒绝,存在政治敏感不合规
1720,拒绝,存在恶意推广不合规
1721,通过,NA
1722,通过,NA
1723,通过,NA
1724,通过,NA
1725,拒绝,存在政治敏感不合规
1726,通过,NA
1727,通过,NA
1728,通过,NA
1729,通过,NA
1730,拒绝,疑似存在政治敏感不合规
1731,通过,NA
1732,通过,NA
1733,拒绝,存在政治敏感不合规
1734,通过,NA
1735,拒绝,存在恶意推广不合规
1736,通过,NA
1737,通过,NA
1738,通过,NA
1739,通过,NA
1740,通过,NA
1741,通过,NA
1742,通过,NA
1743,通过,NA
1744,通过,NA
1745,拒绝,疑似存在政治敏感不合规
1746,拒绝,疑似存在政治敏感不合规
1747,拒绝,存在政治敏感不合规
1748,通过,NA
1749,拒绝,存在恶意推广不合规
1750,通过,NA
1751,拒绝,存在政治敏感不合规
1752,拒绝,存在政治敏感不合规
1753,拒绝,存在政治敏感不合规
1754,通过,NA
1755,通过,NA
1756,通过,NA
1757,通过,NA
1758,拒绝,存在政治敏感不合规
1759,通过,NA
1760,通过,NA
1761,通过,NA
1762,通过,NA
1763,通过,NA
1764,通过,NA
1765,通过,NA
1766,通过,NA
1767,通过,NA
1768,通过,NA
1769,通过,NA
1770,通过,NA
1771,通过,NA
1772,通过,NA
1773,通过,NA
1774,通过,NA
1775,通过,NA
1776,通过,NA
1777,拒绝,存在文本色情不合规
1778,通过,NA
1779,拒绝,存在政治敏感不合规
1780,拒绝,存在政治敏感不合规
1781,拒绝,存在政治敏感不合规
1782,通过,NA
1783,通过,NA
1784,通过,NA
1785,拒绝,存在政治敏感不合规
1786,通过,NA
1787,拒绝,疑似存在政治敏感不合规
1788,拒绝,存在政治敏感不合规
1789,通过,NA
1790,通过,NA
1791,通过,NA
1792,通过,NA
1793,通过,NA
1794,通过,NA
1795,通过,NA
1796,通过,NA
1797,通过,NA
1798,通过,NA
1799,拒绝,存在恶意推广不合规
1800,通过,NA
1801,通过,NA
1802,通过,NA
1803,通过,NA
1804,通过,NA
1805,通过,NA
1806,拒绝,存在政治敏感不合规
1807,通过,NA
1808,通过,NA
1809,通过,NA
1810,通过,NA
1811,通过,NA
1812,通过,NA
1813,通过,NA
1814,拒绝,存在政治敏感不合规
1815,拒绝,存在恶意推广不合规
1816,拒绝,存在政治敏感不合规
1817,拒绝,存在政治敏感不合规
1818,通过,NA
1819,通过,NA
1820,通过,NA
1821,通过,NA
1822,通过,NA
1823,通过,NA
1824,通过,NA
1825,通过,NA
1826,通过,NA
1827,通过,NA
1828,通过,NA
1829,通过,NA
1830,通过,NA
1831,通过,NA
1832,通过,NA
1833,通过,NA
1834,通过,NA
1835,拒绝,存在政治敏感不合规
1836,通过,NA
1837,通过,NA
1838,通过,NA
1839,通过,NA
1840,拒绝,存在文本色情不合规
1841,拒绝,存在政治敏感不合规
1842,通过,NA
1843,通过,NA
1844,通过,NA
1845,通过,NA
1846,通过,NA
1847,拒绝,存在恶意推广不合规
1848,通过,NA
1849,通过,NA
1850,通过,NA
1851,通过,NA
1852,通过,NA
1853,通过,NA
1854,通过,NA
1855,通过,NA
1856,通过,NA
1857,通过,NA
1858,通过,NA
1859,通过,NA
1860,通过,NA
1861,通过,NA
1862,通过,NA
1863,通过,NA
1864,通过,NA
1865,通过,NA
1866,通过,NA
1867,拒绝,疑似存在政治敏感不合规
1868,拒绝,存在恶意推广不合规
1869,通过,NA
1870,拒绝,疑似存在政治敏感不合规
1871,通过,NA
1872,通过,NA
1873,拒绝,存在政治敏感不合规
1874,通过,NA
1875,拒绝,存在政治敏感不合规
1876,通过,NA
1877,通过,NA
1878,通过,NA
1879,通过,NA
1880,通过,NA
1881,通过,NA
1882,通过,NA
1883,通过,NA
1884,拒绝,存在政治敏感不合规
1885,通过,NA
1886,拒绝,存在恶意推广不合规
1887,通过,NA
1888,通过,NA
1889,通过,NA
1890,通过,NA
1891,通过,NA
1892,通过,NA
1893,通过,NA
1894,通过,NA
1895,通过,NA
1896,通过,NA
1897,通过,NA
1898,通过,NA
1899,通过,NA
1900,通过,NA
1901,通过,NA
1902,通过,NA
1903,通过,NA
1904,拒绝,存在政治敏感不合规
1905,通过,NA
1906,通过,NA
1907,通过,NA
1908,通过,NA
1909,通过,NA
1910,通过,NA
1911,通过,NA
1912,通过,NA
1913,拒绝,存在政治敏感不合规
1914,通过,NA
1915,通过,NA
1916,通过,NA
1917,通过,NA
1918,通过,NA
1919,通过,NA
1920,拒绝,疑似存在政治敏感不合规
1921,拒绝,存在政治敏感不合规
1922,通过,NA
1923,通过,NA
1924,拒绝,存在政治敏感不合规
1925,通过,NA
1926,拒绝,存在政治敏感不合规
1927,通过,NA
1928,拒绝,存在政治敏感不合规
1929,拒绝,存在政治敏感不合规
1930,通过,NA
1931,拒绝,存在政治敏感不合规
1932,通过,NA
1933,通过,NA
1934,通过,NA
1935,通过,NA
1936,通过,NA
1937,通过,NA
1938,通过,NA
1939,通过,NA
1940,通过,NA
1941,通过,NA
1942,通过,NA
1943,通过,NA
1944,通过,NA
1945,通过,NA
1946,通过,NA
1947,通过,NA
1948,通过,NA
1949,通过,NA
1950,通过,NA
1951,通过,NA
1952,通过,NA
1953,拒绝,存在政治敏感不合规
1954,通过,NA
1955,通过,NA
1956,通过,NA
1957,通过,NA
1958,通过,NA
1959,通过,NA
1960,通过,NA
1961,拒绝,存在政治敏感不合规
1962,通过,NA
1963,通过,NA
1964,通过,NA
1965,通过,NA
1966,拒绝,存在政治敏感不合规
1967,通过,NA
1968,拒绝,存在恶意推广不合规
1969,通过,NA
1970,通过,NA
1971,通过,NA
1972,通过,NA
1973,通过,NA
1974,通过,NA
1975,通过,NA
1976,通过,NA
1977,拒绝,存在政治敏感不合规
1978,通过,NA
1979,通过,NA
1980,通过,NA
1981,通过,NA
1982,拒绝,存在政治敏感不合规
1983,通过,NA
1984,拒绝,存在政治敏感不合规
1985,拒绝,疑似存在政治敏感不合规
1986,通过,NA
1987,通过,NA
1988,通过,NA
1989,通过,NA
1990,通过,NA
1991,通过,NA
1992,通过,NA
1993,通过,NA
1994,通过,NA
1995,通过,NA
1996,通过,NA
1997,拒绝,疑似存在暴恐违禁不合规
1998,拒绝,存在政治敏感不合规
1999,通过,NA
2000,通过,NA
2001,拒绝,存在文本色情不合规
2002,通过,NA
2003,通过,NA
2004,通过,NA
2005,通过,NA
2006,通过,NA
2007,拒绝,存在政治敏感不合规
2008,通过,NA
2009,拒绝,存在恶意推广不合规
2010,通过,NA
2011,通过,NA
2012,通过,NA
2013,拒绝,存在政治敏感不合规
2014,通过,NA
2015,拒绝,存在政治敏感不合规
2016,通过,NA
2017,通过,NA
2018,通过,NA
2019,拒绝,存在政治敏感不合规
2020,通过,NA
2021,通过,NA
2022,通过,NA
2023,拒绝,疑似存在政治敏感不合规
2024,通过,NA
2025,通过,NA
2026,通过,NA
2027,拒绝,存在政治敏感不合规
2028,拒绝,存在政治敏感不合规
2029,拒绝,疑似存在政治敏感不合规
2030,通过,NA
2031,通过,NA
2032,通过,NA
2033,通过,NA
2034,拒绝,存在政治敏感不合规
2035,通过,NA
2036,通过,NA
2037,通过,NA
2038,通过,NA
2039,通过,NA
2040,通过,NA
2041,拒绝,存在政治敏感不合规
2042,通过,NA
2043,通过,NA
2044,通过,NA
2045,通过,NA
2046,拒绝,存在文本色情不合规
2047,拒绝,存在恶意推广不合规
2048,通过,NA
2049,通过,NA
2050,通过,NA
2051,通过,NA
2052,通过,NA
2053,拒绝,存在恶意推广不合规
2054,拒绝,存在政治敏感不合规
2055,通过,NA
2056,通过,NA
2057,通过,NA
2058,通过,NA
2059,通过,NA
2060,拒绝,存在政治敏感不合规
2061,拒绝,存在政治敏感不合规
2062,通过,NA
2063,通过,NA
2064,通过,NA
2065,通过,NA
2066,通过,NA
2067,通过,NA
2068,通过,NA
2069,通过,NA
2070,通过,NA
2071,通过,NA
2072,通过,NA
2073,通过,NA
2074,通过,NA
2075,拒绝,疑似存在政治敏感不合规
2076,通过,NA
2077,通过,NA
2078,通过,NA
2079,通过,NA
2080,通过,NA
2081,通过,NA
2082,通过,NA
2083,拒绝,存在政治敏感不合规
2084,拒绝,存在政治敏感不合规
2085,通过,NA
2086,拒绝,存在政治敏感不合规
2087,拒绝,疑似存在文本色情不合规
2088,拒绝,存在政治敏感不合规
2089,通过,NA
2090,通过,NA
2091,通过,NA
2092,通过,NA
2093,通过,NA
2094,通过,NA
2095,通过,NA
2096,通过,NA
2097,通过,NA
2098,通过,NA
2099,通过,NA
2100,通过,NA
2101,通过,NA
2102,通过,NA
2103,通过,NA
2104,通过,NA
2105,通过,NA
2106,通过,NA
2107,拒绝,疑似存在暴恐违禁不合规
2108,通过,NA
2109,拒绝,存在政治敏感不合规
2110,通过,NA
2111,通过,NA
2112,通过,NA
2113,通过,NA
2114,拒绝,存在政治敏感不合规
2115,通过,NA
2116,拒绝,存在政治敏感不合规
2117,通过,NA
2118,通过,NA
2119,通过,NA
2120,通过,NA
2121,拒绝,存在政治敏感不合规
2122,通过,NA
2123,通过,NA
2124,通过,NA
2125,通过,NA
2126,通过,NA
2127,通过,NA
2128,通过,NA
2129,通过,NA
2130,拒绝,疑似存在政治敏感不合规
2131,通过,NA
2132,通过,NA
2133,通过,NA
2134,通过,NA
2135,拒绝,存在政治敏感不合规
2136,通过,NA
2137,通过,NA
2138,通过,NA
2139,通过,NA
2140,通过,NA
2141,通过,NA
2142,通过,NA
2143,通过,NA
2144,通过,NA
2145,拒绝,存在政治敏感不合规
2146,通过,NA
2147,通过,NA
2148,通过,NA
2149,通过,NA
2150,通过,NA
2151,拒绝,存在百度官方默认违禁词库不合规
2152,通过,NA
2153,通过,NA
2154,通过,NA
2155,通过,NA
2156,通过,NA
2157,通过,NA
2158,通过,NA
2159,拒绝,存在政治敏感不合规
2160,通过,NA
2161,通过,NA
2162,通过,NA
2163,通过,NA
2164,通过,NA
2165,通过,NA
2166,通过,NA
2167,通过,NA
2168,通过,NA
2169,通过,NA
2170,通过,NA
2171,通过,NA
2172,通过,NA
2173,通过,NA
2174,通过,NA
2175,通过,NA
2176,通过,NA
2177,拒绝,疑似存在政治敏感不合规
2178,拒绝,存在政治敏感不合规
2179,通过,NA
2180,通过,NA
2181,通过,NA
2182,通过,NA
2183,通过,NA
2184,通过,NA
2185,通过,NA
2186,通过,NA
2187,通过,NA
2188,通过,NA
2189,通过,NA
2190,通过,NA
2191,拒绝,存在恶意推广不合规
2192,通过,NA
2193,通过,NA
2194,通过,NA
2195,拒绝,疑似存在政治敏感不合规
2196,通过,NA
2197,拒绝,疑似存在政治敏感不合规
2198,拒绝,存在政治敏感不合规
2199,通过,NA
2200,通过,NA
2201,通过,NA
2202,通过,NA
2203,通过,NA
2204,通过,NA
2205,通过,NA
2206,拒绝,存在恶意推广不合规
2207,通过,NA
2208,通过,NA
2209,拒绝,存在政治敏感不合规
2210,通过,NA
2211,拒绝,疑似存在政治敏感不合规
2212,通过,NA
2213,通过,NA
2214,通过,NA
2215,通过,NA
2216,通过,NA
2217,通过,NA
2218,通过,NA
2219,通过,NA
2220,通过,NA
2221,通过,NA
2222,通过,NA
2223,通过,NA
2224,通过,NA
2225,通过,NA
2226,通过,NA
2227,通过,NA
2228,通过,NA
2229,拒绝,存在政治敏感不合规
2230,通过,NA
2231,通过,NA
2232,通过,NA
2233,通过,NA
2234,拒绝,存在政治敏感不合规
2235,拒绝,存在政治敏感不合规
2236,拒绝,疑似存在政治敏感不合规
2237,通过,NA
2238,通过,NA
2239,通过,NA
2240,通过,NA
2241,拒绝,存在政治敏感不合规
2242,通过,NA
2243,通过,NA
2244,通过,NA
2245,通过,NA
2246,通过,NA
2247,通过,NA
2248,通过,NA
2249,通过,NA
2250,通过,NA
2251,通过,NA
2252,通过,NA
2253,通过,NA
2254,拒绝,疑似存在政治敏感不合规
2255,通过,NA
2256,通过,NA
2257,通过,NA
2258,拒绝,存在政治敏感不合规
2259,通过,NA
2260,通过,NA
2261,通过,NA
2262,通过,NA
2263,拒绝,存在政治敏感不合规
2264,拒绝,存在政治敏感不合规
2265,通过,NA
2266,通过,NA
2267,拒绝,存在恶意推广不合规
2268,拒绝,存在恶意推广不合规
2269,通过,NA
2270,通过,NA
2271,通过,NA
2272,通过,NA
2273,通过,NA
2274,拒绝,存在政治敏感不合规
2275,通过,NA
2276,拒绝,疑似存在政治敏感不合规
2277,通过,NA
2278,通过,NA
2279,通过,NA
2280,通过,NA
2281,通过,NA
2282,通过,NA
2283,通过,NA
2284,通过,NA
2285,通过,NA
2286,通过,NA
2287,通过,NA
2288,拒绝,存在政治敏感不合规
2289,通过,NA
2290,通过,NA
2291,通过,NA
2292,通过,NA
2293,拒绝,存在政治敏感不合规
2294,通过,NA
2295,拒绝,疑似存在文本色情不合规
2296,通过,NA
2297,通过,NA
2298,通过,NA
2299,通过,NA
2300,通过,NA
2301,通过,NA
2302,拒绝,存在政治敏感不合规
2303,通过,NA
2304,通过,NA
2305,拒绝,存在政治敏感不合规
2306,通过,NA
2307,通过,NA
2308,通过,NA
2309,通过,NA
2310,通过,NA
2311,通过,NA
2312,通过,NA
2313,通过,NA
2314,通过,NA
2315,通过,NA
2316,通过,NA
2317,通过,NA
2318,通过,NA
2319,通过,NA
2320,拒绝,存在暴恐违禁不合规
2321,通过,NA
2322,拒绝,存在政治敏感不合规
2323,通过,NA
2324,通过,NA
2325,拒绝,疑似存在政治敏感不合规
2326,通过,NA
2327,通过,NA
2328,通过,NA
2329,通过,NA
2330,拒绝,存在政治敏感不合规
2331,通过,NA
2332,通过,NA
2333,通过,NA
2334,拒绝,存在恶意推广不合规
2335,通过,NA
2336,通过,NA
2337,通过,NA
2338,通过,NA
2339,通过,NA
2340,通过,NA
2341,拒绝,疑似存在政治敏感不合规
2342,通过,NA
2343,通过,NA
2344,通过,NA
2345,通过,NA
2346,拒绝,存在文本色情不合规
2347,通过,NA
2348,通过,NA
2349,通过,NA
2350,通过,NA
2351,通过,NA
2352,通过,NA
2353,拒绝,存在政治敏感不合规
2354,拒绝,存在恶意推广不合规
2355,通过,NA
2356,通过,NA
2357,通过,NA
2358,通过,NA
2359,通过,NA
2360,通过,NA
2361,通过,NA
2362,通过,NA
2363,拒绝,存在恶意推广不合规
2364,通过,NA
2365,通过,NA
2366,通过,NA
2367,拒绝,存在政治敏感不合规
2368,通过,NA
2369,通过,NA
2370,拒绝,存在政治敏感不合规
2371,通过,NA
2372,通过,NA
2373,通过,NA
2374,通过,NA
2375,通过,NA
2376,通过,NA
2377,通过,NA
2378,拒绝,疑似存在政治敏感不合规
2379,通过,NA
2380,通过,NA
2381,通过,NA
2382,通过,NA
2383,通过,NA
2384,通过,NA
2385,通过,NA
2386,拒绝,存在政治敏感不合规
2387,通过,NA
2388,通过,NA
2389,通过,NA
2390,拒绝,存在政治敏感不合规
2391,拒绝,存在政治敏感不合规
2392,通过,NA
2393,通过,NA
2394,通过,NA
2395,通过,NA
2396,通过,NA
2397,通过,NA
2398,通过,NA
2399,通过,NA
2400,通过,NA
2401,拒绝,存在政治敏感不合规
2402,拒绝,存在政治敏感不合规
2403,通过,NA
2404,通过,NA
2405,通过,NA
2406,通过,NA
2407,通过,NA
2408,通过,NA
2409,通过,NA
2410,通过,NA
2411,通过,NA
2412,通过,NA
2413,通过,NA
2414,通过,NA
2415,通过,NA
2416,通过,NA
2417,通过,NA
2418,拒绝,疑似存在政治敏感不合规
2419,通过,NA
2420,通过,NA
2421,通过,NA
2422,通过,NA
2423,拒绝,疑似存在政治敏感不合规
2424,通过,NA
2425,通过,NA
2426,通过,NA
2427,通过,NA
2428,通过,NA
2429,拒绝,存在政治敏感不合规
2430,通过,NA
2431,通过,NA
2432,通过,NA
2433,通过,NA
2434,通过,NA
2435,拒绝,存在政治敏感不合规
2436,通过,NA
2437,通过,NA
2438,通过,NA
2439,拒绝,存在政治敏感不合规
2440,拒绝,存在政治敏感不合规
2441,通过,NA
2442,通过,NA
2443,通过,NA
2444,通过,NA
2445,通过,NA
2446,通过,NA
2447,通过,NA
2448,拒绝,存在政治敏感不合规
2449,通过,NA
2450,通过,NA
2451,通过,NA
2452,通过,NA
2453,通过,NA
2454,通过,NA
2455,拒绝,存在文本色情不合规
2456,通过,NA
2457,通过,NA
2458,通过,NA
2459,通过,NA
2460,通过,NA
2461,通过,NA
2462,通过,NA
2463,拒绝,存在政治敏感不合规
2464,通过,NA
2465,拒绝,存在政治敏感不合规
2466,拒绝,存在暴恐违禁不合规
2467,通过,NA
2468,通过,NA
2469,通过,NA
2470,通过,NA
2471,通过,NA
2472,通过,NA
2473,通过,NA
2474,通过,NA
2475,通过,NA
2476,拒绝,存在政治敏感不合规
2477,通过,NA
2478,通过,NA
2479,通过,NA
2480,通过,NA
2481,拒绝,存在政治敏感不合规
2482,拒绝,存在政治敏感不合规
2483,拒绝,存在政治敏感不合规
2484,通过,NA
2485,通过,NA
2486,拒绝,存在政治敏感不合规
2487,拒绝,存在政治敏感不合规
2488,通过,NA
2489,通过,NA
2490,通过,NA
2491,通过,NA
2492,通过,NA
2493,通过,NA
2494,通过,NA
2495,通过,NA
2496,拒绝,存在政治敏感不合规
2497,通过,NA
2498,通过,NA
2499,通过,NA
2500,通过,NA
2501,通过,NA
2502,拒绝,存在政治敏感不合规
2503,通过,NA
2504,拒绝,疑似存在政治敏感不合规
2505,通过,NA
2506,通过,NA
2507,通过,NA
2508,通过,NA
2509,通过,NA
2510,拒绝,疑似存在政治敏感不合规
2511,通过,NA
2512,拒绝,疑似存在政治敏感不合规
2513,通过,NA
2514,通过,NA
2515,通过,NA
2516,通过,NA
2517,通过,NA
2518,通过,NA
2519,拒绝,存在政治敏感不合规
2520,通过,NA
2521,通过,NA
2522,通过,NA
2523,通过,NA
2524,通过,NA
2525,通过,NA
2526,拒绝,疑似存在政治敏感不合规
2527,通过,NA
2528,拒绝,存在政治敏感不合规
2529,通过,NA
2530,通过,NA
2531,通过,NA
2532,通过,NA
2533,通过,NA
2534,通过,NA
2535,通过,NA
2536,通过,NA
2537,拒绝,存在政治敏感不合规
2538,拒绝,存在文本色情不合规
2539,拒绝,疑似存在政治敏感不合规
2540,通过,NA
2541,通过,NA
2542,通过,NA
2543,通过,NA
2544,通过,NA
2545,通过,NA
2546,通过,NA
2547,通过,NA
2548,通过,NA
2549,通过,NA
2550,拒绝,存在政治敏感不合规
2551,通过,NA
2552,通过,NA
2553,通过,NA
2554,通过,NA
2555,拒绝,存在恶意推广不合规
2556,通过,NA
2557,通过,NA
2558,通过,NA
2559,通过,NA
2560,通过,NA
2561,通过,NA
2562,通过,NA
2563,通过,NA
2564,通过,NA
2565,通过,NA
2566,通过,NA
2567,拒绝,存在政治敏感不合规
2568,拒绝,疑似存在政治敏感不合规
2569,通过,NA
2570,通过,NA
